hour,occupancy,month,year,weekend,day
17,67,2,2014,True,8
18,67,2,2014,True,8
19,43,2,2014,True,8
20,36,2,2014,True,8
21,36,2,2014,True,8
22,29,2,2014,True,8
23,29,2,2014,True,8
0,29,2,2014,True,9
1,29,2,2014,True,9
2,29,2,2014,True,9
3,29,2,2014,True,9
4,27,2,2014,True,9
5,27,2,2014,True,9
6,52,2,2014,True,9
7,222,2,2014,True,9
8,256,2,2014,True,9
9,260,2,2014,True,9
10,223,2,2014,True,9
11,210,2,2014,True,9
12,142,2,2014,True,9
13,80,2,2014,True,9
14,67,2,2014,True,9
15,64,2,2014,True,9
16,59,2,2014,True,9
17,53,2,2014,True,9
18,47,2,2014,True,9
19,44,2,2014,True,9
20,34,2,2014,True,9
21,32,2,2014,True,9
22,32,2,2014,True,9
23,32,2,2014,True,9
0,26,2,2014,False,10
1,27,2,2014,False,10
2,27,2,2014,False,10
3,27,2,2014,False,10
4,48,2,2014,False,10
5,217,2,2014,False,10
6,800,2,2014,False,10
7,1618,2,2014,False,10
8,2267,2,2014,False,10
9,2478,2,2014,False,10
10,2494,2,2014,False,10
11,2494,2,2014,False,10
12,2429,2,2014,False,10
13,2474,2,2014,False,10
14,2465,2,2014,False,10
15,2425,2,2014,False,10
16,2230,2,2014,False,10
17,1545,2,2014,False,10
18,742,2,2014,False,10
19,297,2,2014,False,10
20,130,2,2014,False,10
21,98,2,2014,False,10
22,98,2,2014,False,10
23,50,2,2014,False,10
0,42,2,2014,False,11
1,42,2,2014,False,11
2,37,2,2014,False,11
3,32,2,2014,False,11
4,63,2,2014,False,11
5,230,2,2014,False,11
6,874,2,2014,False,11
7,1737,2,2014,False,11
8,2392,2,2014,False,11
9,2546,2,2014,False,11
10,2575,2,2014,False,11
11,2564,2,2014,False,11
12,2489,2,2014,False,11
13,2537,2,2014,False,11
14,2533,2,2014,False,11
15,2481,2,2014,False,11
16,2251,2,2014,False,11
17,1575,2,2014,False,11
18,679,2,2014,False,11
19,282,2,2014,False,11
20,153,2,2014,False,11
21,96,2,2014,False,11
22,62,2,2014,False,11
23,62,2,2014,False,11
